review_id,product_category,review_text,rating,source,cleaned_text,compound_score,sentiment
demo_00001,Consumer Electronics,"The wireless earbuds is acceptable for basic use, although the packaging could improve.",2.5,offline_demo_generator,wireless earbuds acceptable basic use although packaging could improve,0.0,neutral
demo_00002,Consumer Electronics,Great value and easy to use. This wireless earbuds solved exactly what I needed.,4.0,offline_demo_generator,great value easy use wireless earbuds solved exactly what needed,1.0,positive
demo_00003,Consumer Electronics,"The wireless earbuds is okay overall, but nothing special compared with alternatives.",2.5,offline_demo_generator,wireless earbuds okay overall nothing special compared alternatives,0.0,neutral
demo_00004,Consumer Electronics,Great value and easy to use. This smart desk lamp solved exactly what I needed.,4.0,offline_demo_generator,great value easy use smart desk lamp solved exactly what needed,1.0,positive
demo_00005,Consumer Electronics,"The smart desk lamp feels premium, performs reliably, and I would recommend it.",4.0,offline_demo_generator,smart desk lamp feels premium performs reliably would recommend,0.8321,positive
demo_00006,Consumer Electronics,The fitness tracker works perfectly and the quality is excellent for the price.,4.0,offline_demo_generator,fitness tracker works perfectly quality excellent price,0.8321,positive
demo_00007,Consumer Electronics,"The fitness tracker is acceptable for basic use, although the packaging could improve.",2.5,offline_demo_generator,fitness tracker acceptable basic use although packaging could improve,0.0,neutral
demo_00008,Consumer Electronics,The fitness tracker works perfectly and the quality is excellent for the price.,4.0,offline_demo_generator,fitness tracker works perfectly quality excellent price,0.8321,positive
demo_00009,Consumer Electronics,Fantastic purchase. The fitness tracker arrived quickly and exceeded my expectations.,5.0,offline_demo_generator,fantastic purchase fitness tracker arrived quickly exceeded my expectations,0.9045,positive
demo_00010,Consumer Electronics,"The wireless earbuds feels premium, performs reliably, and I would recommend it.",5.0,offline_demo_generator,wireless earbuds feels premium performs reliably would recommend,0.866,positive
demo_00011,Consumer Electronics,The laptop backpack works perfectly and the quality is excellent for the price.,5.0,offline_demo_generator,laptop backpack works perfectly quality excellent price,0.8321,positive
demo_00012,Consumer Electronics,Fantastic purchase. The smart desk lamp arrived quickly and exceeded my expectations.,5.0,offline_demo_generator,fantastic purchase smart desk lamp arrived quickly exceeded my expectations,0.866,positive
demo_00013,Consumer Electronics,The wireless earbuds works perfectly and the quality is excellent for the price.,5.0,offline_demo_generator,wireless earbuds works perfectly quality excellent price,0.8321,positive
demo_00014,Consumer Electronics,The fitness tracker works perfectly and the quality is excellent for the price.,4.0,offline_demo_generator,fitness tracker works perfectly quality excellent price,0.8321,positive
demo_00015,Consumer Electronics,"The laptop backpack arrived late, had scratches, and did not perform as advertised.",1.5,offline_demo_generator,laptop backpack arrived late had scratches did not perform advertised,-0.8321,negative
demo_00016,Consumer Electronics,It works as expected. The fitness tracker has average quality and standard features.,3.0,offline_demo_generator,works expected fitness tracker has average quality standard features,0.2774,positive
demo_00017,Consumer Electronics,The fitness tracker works perfectly and the quality is excellent for the price.,5.0,offline_demo_generator,fitness tracker works perfectly quality excellent price,0.8321,positive
demo_00018,Consumer Electronics,It works as expected. The smart desk lamp has average quality and standard features.,2.5,offline_demo_generator,works expected smart desk lamp has average quality standard features,0.2673,positive
demo_00019,Consumer Electronics,Great value and easy to use. This fitness tracker solved exactly what I needed.,4.0,offline_demo_generator,great value easy use fitness tracker solved exactly what needed,1.0,positive
demo_00020,Consumer Electronics,It works as expected. The wireless earbuds has average quality and standard features.,2.5,offline_demo_generator,works expected wireless earbuds has average quality standard features,0.2774,positive
demo_00021,Consumer Electronics,"The laptop backpack arrived late, had scratches, and did not perform as advertised.",1.0,offline_demo_generator,laptop backpack arrived late had scratches did not perform advertised,-0.8321,negative
demo_00022,Consumer Electronics,Fantastic purchase. The smart desk lamp arrived quickly and exceeded my expectations.,4.0,offline_demo_generator,fantastic purchase smart desk lamp arrived quickly exceeded my expectations,0.866,positive
demo_00023,Consumer Electronics,"Mixed experience. Some features are useful, but the laptop backpack has minor issues.",2.5,offline_demo_generator,mixed experience some features useful laptop backpack has minor issues,-0.2774,negative
demo_00024,Consumer Electronics,Great value and easy to use. This portable blender solved exactly what I needed.,5.0,offline_demo_generator,great value easy use portable blender solved exactly what needed,1.0,positive
demo_00025,Consumer Electronics,"The smart desk lamp feels premium, performs reliably, and I would recommend it.",5.0,offline_demo_generator,smart desk lamp feels premium performs reliably would recommend,0.8321,positive
